"ds";"y"
2023-03-02;"8366109.0700000"
2023-03-03;"4188330.4900000"
2023-03-04;"5949054.3100000"
2023-03-05;"2155678.6200000"
2023-03-06;"6219864.5000000"
2023-03-07;"9128007.4100000"
2023-03-08;"10286887.6700000"
2023-03-09;"9365818.7100000"
2023-03-10;"3922380.4700000"
2023-03-11;"6436223.7900000"
2023-03-12;"2310621.1100000"
2023-03-13;"5752288.8200000"
2023-03-14;"8242072.5500000"
2023-03-15;"9399341.7000000"
2023-03-16;"8418162.6800000"
2023-03-17;"4659688.1800000"
2023-03-18;"6033691.0600000"
2023-03-19;"2224763.6300000"
2023-03-20;"6359857.3300000"
2023-03-21;"7950444.7600000"
2023-03-22;"8970371.9600000"
2023-03-23;"8080918.0700000"
2023-03-24;"3193722.0600000"
2023-03-25;"5756662.4100000"
2023-03-26;"2550926.5300000"
2023-03-27;"5405051.1100000"
2023-03-28;"7906569.6500000"
2023-03-29;"7802985.7700000"
2023-03-30;"9466886.4200000"
2023-03-31;"8598495.6700000"
2023-04-01;"2852059.2500000"
2023-04-02;"1924879.6500000"
2023-04-03;"5504117.7600000"
2023-04-04;"7518888.6200000"
